category,overlayMarkerColor,lat,long,icon,text,description
Towns,lightblue,-122.4, 120.9,place-of-worship,Glossion,"The small coastal town of Glossion boasts a remarkable library that according to local legend was a gift from Ephara. Other tales suggest that the library was founded by an ancient sage named Anatheia, but then a terrible fire destroyed the place, and along with it generations of collected knowledge. Once the people finished rebuilding the structure to start the library over, Ephara is said to have appeared and restored the books and scrolls the library had lost, copying the information from her scrolls of sacred knowledge. The bulk of the town's economy revolves around maintaining the library and meeting the needs of travelers who come to visit it."
Towns,lightblue,-140.3, 140.9,place-of-worship,Sitrium,"The coastal town of Sitrium is known for the way many of its buildings are on stilts to accommodate the changing tides. Sitrium is famed for its skilled shipwrights."
Towns,lightblue,-151.8, 153.3,place-of-worship,Natumbria,"The residents of Natumbria are famous for training sea animals as skillfully as Setessans train land and air animals. They train sea snakes, dolphins, and even sharks on a few occasions to be combatants, working animals, aquatic mounts, and companions."
Towns,lightblue,-158.1, 204.8,place-of-worship,Phaela,"A small fishing village, Phaela is most noted as being the literal 'end of the road' for travelers venturing south from Meletis. Yet for the easy-going locals, Phaela is the perfect place to enjoy the benefits of Meletian life without the politics."
Towns,lightblue,-193.7, 130.0,place-of-worship,Latchkey,"Piracy. No town is more associated with it in Aristeia than Latchkey. The beachside town is littered with sailors of every kind, and those who profit from them."
Towns,lightblue,-163.9, 107.3,place-of-worship,Therma,"A bustling tradeport and tourist destiation. Therma is known for its hotsprings and thermal pools. Many travelers stop here to relax and recover from their journeys."
Towns,lightblue,-171.6, 81.7,place-of-worship,Brigen,"The hard-working town of Brigen is known for its prized cattle and grain. The cattle market in town draws traders from all over Aristeia."
Towns,lightblue,-167.6, 67.0,place-of-worship,Onux,"Situated along the banks of the Pynx river, and within a day's walk to the Silver Wood and the Syrion Mines, Onux is a thriving town of industry, though lacking the cultural extravangance of Pytharis."
Towns,lightblue,-171.9, 42.8,place-of-worship,Nausipoli,"An ancient town on the edge of the desert. Nausipoli is what's left of an ancient and proud desert kingdom."
Towns,lightblue,-132.3, 38.5,place-of-worship,Thesteia,"The humble fishing village of Thesteia is little more than a crossroads, but it's notable for its temple to Karametra. The site draws farmers from the region who offer a portion of their crops to the god of agriculture. It is also known as the birthplace of the hero Daphne, second only to Callaphe the Mariner in fame."
Towns,lightblue,-108.6, 55.1,place-of-worship,Pilea,"A town of stone masons, Pilea exports marble from the Lyssian Mine to the rest of Aristeia. For every statue of a god or goddess, there is a coin in the pocket of a Pilean."
Towns,lightblue,-103.1, 73.7,place-of-worship,Anopoli,"Smaller than Deyda Harbor, but no less vibrant. Anopoli is a port town responsible for most of Akros's agricultural trade."
Towns,lightblue,-118.0, 79.6,place-of-worship,Orithon,"A pilgrimage site for the those wishing to consult the Oracles, Orithon is a town of true believers and charlatans in equal measure."
Towns,lightblue,-77.1, 74.7,place-of-worship,Deyda Harbor,"The main port of Akros, Deyda is more than just a harbor now. "
Towns,lightblue,-50.7, 77.2,place-of-worship,Krothis,"The Minotaurs of the Beastlands have no great love of the sea, yet even they know the importance of trade. Krothis is a bustling port of goblins, orcs, minotaurs, and any willing to overcome a natural aversion to water in the name of profit."
Towns,lightblue,-32.8, 80.8,place-of-worship,Grath,"Description Pending. I'll get to it eventually. Most likely."
Towns,lightblue,-67.8, 121.9,place-of-worship,Buckpoint,"Buckpoint is the last bastion of civilization on the Theanos Peninsula. Filled with pioneers, outlaws, and would-be adventurers, it is a town of opportunity or a town of last resort."
Towns,lightblue,-79.8, 135.3,place-of-worship,Krimnos,"Home of the famed philosopher Anapse. The village of Krimnos attracts many philosophers who share Anapse's delight in the pleasures of a simple life."
Towns,lightblue,-48.5, 138.8,place-of-worship,Derythos,"Description Pending. I'll get to it eventually. Most likely."
Towns,lightblue,-66.4, 162.6,place-of-worship,Phoebe,"Description Pending. I'll get to it eventually. Most likely."
Towns,lightblue,-20.8, 138.1,place-of-worship,Lethys,"The centaur tribes of the Hornlands rarley build permanent settlements, but the fertile banks of lake Lethys were so frequently used as a campsite that its growth into a town was inevitable."
Towns,lightblue,-64.0, 222.4,place-of-worship,Vallaki,"The port of Asphodel, Vallaki is the first stop for any traveling to the Necropolis, or North into the broken lands."
